2026 Rank,Previous Rank,Institution Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE
1001,851,university of mississippi,United States of America,Americas,L,CO,VH,Public,5.0,701,3.0,701,78.0,177,12.0,801,5.0,801,5.0,801,10.0,801,48.0,801,9.0,801,36.0,801,0.0
1401,1201,university of missouri saint louis,United States of America,Americas,M,CO,HI,Public,5.0,701,7.0,701,20.0,801,13.0,801,6.0,801,8.0,801,6.0,801,10.0,801,13.0,801,22.0,801,0.0
801,721,university of modena and reggio emilia,Italy,Europe,L,FC,VH,Public,12.0,701,8.0,701,5.0,801,57.0,310,5.0,801,8.0,801,13.0,801,55.0,767,20.0,719,54.0,613,0.0
781,781,university of mons,Belgium,Europe,M,CO,VH,Public,7.0,701,8.0,701,5.0,801,53.0,349,41.0,491,47.0,432,51.0,409,44.0,801,7.0,801,54.0,613,0.0
168,159,university of montreal,Canada,Americas,XL,FC,VH,Public,66.0,151,44.0,303,80.0,171,26.0,621,92.0,214,66.0,301,70.0,271,89.0,195,65.0,239,90.0,65,60.0
1401,0,university of moratuwa,Sri Lanka,Asia,M,SP,VH,Public,6.0,701,8.0,701,5.0,801,16.0,791,0.0,0,1.0,801,1.0,801,13.0,801,13.0,801,25.0,801,0.0
1201,0,university of mosul,Iraq,Asia,XL,FC,HI,Public,7.0,701,13.0,701,23.0,764,2.0,801,1.0,801,1.0,801,6.0,801,30.0,801,29.0,577,26.0,801,0.0
664,711,university of mumbai,India,Asia,M,FC,VH,Public,11.0,701,32.0,454,5.0,801,54.0,348,3.0,801,4.0,801,9.0,801,28.0,801,91.0,95,41.0,801,26.0
1001,901,university of murcia,Spain,Europe,L,FC,VH,Public,15.0,701,5.0,701,25.0,735,15.0,801,0.0,0,7.0,801,12.0,801,78.0,385,5.0,801,64.0,413,0.0
350,367,university of münster,Germany,Europe,L,FC,VH,Public,42.0,280,42.0,327,80.0,170,16.0,793,36.0,532,8.0,801,14.0,801,83.0,302,45.0,387,75.0,247,42.0
1001,901,university of nairobi,Kenya,Africa,XL,FC,HI,Public,13.0,701,14.0,701,26.0,723,3.0,801,0.0,0,0.0,0,0.0,0,49.0,801,96.0,72,39.0,801,0.0
801,0,university of namur,Belgium,Europe,M,FO,VH,,6.0,701,9.0,701,6.0,801,44.0,421,37.0,521,59.0,345,63.0,316,48.0,801,10.0,801,53.0,632,0.0
379,347,university of naples - federico ii,Italy,Europe,XL,FC,VH,Public,48.0,241,33.0,438,7.0,801,60.0,292,3.0,801,1.0,801,1.0,801,95.0,86,13.0,801,58.0,550,40.0
262,249,university of navarra,Spain,Europe,L,FC,HI,Private not for Profit,41.0,290,78.0,111,51.0,375,25.0,631,27.0,629,84.0,200,85.0,171,58.0,714,81.0,156,66.0,376,49.0
711,701,university of nebraska - lincoln,United States of America,Americas,L,CO,VH,Public,14.0,701,12.0,701,24.0,756,38.0,495,27.0,622,12.0,801,18.0,794,80.0,359,18.0,771,64.0,427,0.0
1001,0,university of nevada - reno,United States of America,Americas,L,FC,HI,Public,6.0,701,7.0,701,24.0,748,24.0,648,23.0,672,4.0,801,3.0,801,63.0,652,14.0,801,48.0,757,0.0
